,Size,ideal_min_balance,worst_balance,STATIC_MILP_SCORE,SEQ_MILP_SCORE,MILP_time_min,STATIC_GA_SCORE,SEQ_MA_SCORE,GA_time_min
0,5,1.0129828959302418,1.6222786024400044,1.0131786024400045,1.0131786024400045,0.0,1.1841186024400043,1.0131786024400045,0.28
1,25,3.4842760619077064,6.200136118174713,3.9193761181747138,3.485436118174713,0.0,3.6211361181747135,3.5721561181747137,1.25
2,50,4.676593352666464,8.461552332570339,5.553452332570339,4.690232332570339,0.0,5.77621233257034,5.12903233257034,4.58
3,100,8.03678557795558,13.801666825717518,10.501806825717514,8.159206825717515,0.01,10.807866825717516,8.142386825717518,6.23
4,250,19.636078535592993,34.021992443588644,25.463192443588643,19.826632443588643,0.03,25.539692443588645,20.233692443588644,16.28
5,500,46.28769390365245,79.44163859700836,54.198698597008374,47.211518597008364,0.06,56.87841859700836,48.48321859700837,40.71
6,1000,86.43021074580497,155.7912867649985,103.62948676499849,88.85540676499849,0.18,103.3375067649985,90.3716467649985,171.68
